2014-05-25 00:22:19,294 Thread-4 name.martingeisse.api.servlet.Launcher DEBUG: Launcher.launch(): begin
2014-05-25 00:22:19,330 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -10
2014-05-25 00:22:19,331 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -9
2014-05-25 00:22:19,337 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -8
2014-05-25 00:22:19,354 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -7
2014-05-25 00:22:19,681 Thread-4 org.eclipse.jetty.server.Server INFO: jetty-8.1.15.v20140411
2014-05-25 00:22:19,813 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -10, -9
2014-05-25 00:22:19,813 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -6
2014-05-25 00:22:19,817 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -10, -8
2014-05-25 00:22:19,818 pool-1-thread-3 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -5
2014-05-25 00:22:19,826 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -10, -10
2014-05-25 00:22:19,826 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -4
2014-05-25 00:22:19,831 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -10, -7
2014-05-25 00:22:19,831 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -3
2014-05-25 00:22:19,945 Thread-4 org.eclipse.jetty.server.AbstractConnector INFO: Started SelectChannelConnector@0.0.0.0:8888
2014-05-25 00:22:19,959 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -10, -6
2014-05-25 00:22:19,961 pool-1-thread-2 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -2
2014-05-25 00:22:19,978 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -10, -3
2014-05-25 00:22:19,978 pool-1-thread-4 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: generating random terrain for section column at -10, -1
2014-05-25 00:22:19,986 pool-1-thread-1 name.martingeisse.miner.server.terrain.TerrainGenerator DEBUG: random terrain generated for section column at -10, -4
